No,Provinsi,Kabupaten/Kota,Nama Sekolah,Tingkat Sekolah,Tingkat Penghargaan,Jenis Sekolah
1,ACEH,KOTA LANGSA,SDN 11 LANGSA,SD/MI,MANDIRI,negeri
2,ACEH,KOTA BANDA ACEH,MIN 5 KOTA BANDA ACEH,SD/MI,NASIONAL,negeri
3,ACEH,ACEH TIMUR,SMPN 1 IDI,SMP/MTS,NASIONAL,negeri
4,ACEH,KOTA BANDA ACEH,SMPN 1 BANDA ACEH,SMP/MTS,NASIONAL,negeri
5,ACEH,KOTA BANDA ACEH,SMPN 17 BANDA ACEH,SMP/MTS,NASIONAL,negeri
6,ACEH,KOTA BANDA ACEH,SMPN 19 PERCONTOHAN BANDA ACEH,SMP/MTS,NASIONAL,negeri
7,SUMATERA UTARA,TAPANULI TENGAH,MIN 7 TAPANULI TENGAH,SD/MI,MANDIRI,negeri
8,SUMATERA UTARA,TAPANULI SELATAN,SDN 100712 HAPESONG LAMA,SD/MI,NASIONAL,negeri
9,SUMATERA UTARA,TAPANULI SELATAN,SMPN 1 BAT ANG TORU,SMP/MTS,NASIONAL,negeri
10,SUMATERA UTARA,TOBA SAMOSIR,SMPS BONAPASOGIT SEJAHTERA,SMP/MTS,NASIONAL,swasta
11,SUMATERA BARAT,AGAM,SDN 10 SANGKIR,SD/MI,NASIONAL,negeri
12,SUMATERA BARAT,SIJUNJUNG,SDN 1 SIJUNJUNG,SD/MI,NASIONAL,negeri
13,SUMATERA BARAT,SIJUNJUNG,SDN 6 PALANGKI,SD/MI,NASIONAL,negeri
14,SUMATERA BARAT,KOTA BUKITTINGGI,SDN 03 PAKAN LABUAH,SD/MI,NASIONAL,negeri
15,SUMATERA BARAT,KOTA PADANG PANJANG,SDN 5 PADANG PANJANG BARAT,SD/MI,NASIONAL,negeri
16,SUMATERA BARAT,KOTA PARIAMAN,SDN 12 CUBADAKMENTAWAI,SD/MI,NASIONAL,negeri
17,SUMATERA BARAT,PAYAKUMBUH,SDN 03 PAYAKUMBUH,SD/MI,NASIONAL,negeri
18,SUMATERA BARAT,PAYAKUMBUH,SDN 58 PAYAKUMBUH,SD/MI,NASIONAL,negeri
19,SUMATERA BARAT,SIJUNJUNG,SMPN 6 SIJUNJUNG,SMP/MTS,NASIONAL,negeri
20,SUMATERA BARAT,KOTA PADANG PANJANG,MTSS DMP DINIYAH PUTERI,SMP/MTS,NASIONAL,swasta
21,SUMATERA BARAT,PAYAKUMBUH,SMPN 1 PAYAKUMBUH,SMP/MTS,NASIONAL,negeri
22,SUMATERA BARAT,KOTA PADANG,SMAN 7 PADANG,SMA/MA/SMK,NASIONAL,negeri
23,RIAU,PELALAWAN,SD GLOBAL ANDALAN,SD/MI,MANDIRI,swasta
24,RIAU,SIAK,SDN 06 PERAWANG BARAT,SD/MI,MANDIRI,negeri
25,RIAU,SIAK,SDN 04 MINAS JAYA,SD/MI,MANDIRI,negeri
26,RIAU,BENGKALIS,SDN 2 BANTAN,SD/MI,NASIONAL,negeri
27,RIAU,KUANTAN SINGINGI,SDS GLOBAL ANDALAN ESTATE BASERAH,SD/MI,NASIONAL,swasta
28,RIAU,KUANTAN SINGINGI,SDS GLOBAL ANDALAN ESTATE LOGAS,SD/MI,NASIONAL,swasta
29,RIAU,PELALAWAN,SDN 005 MAKMUR,SD/MI,NASIONAL,negeri
30,RIAU,ROKAN HILIR,SDN 006 BAGAN BARAT,SD/MI,NASIONAL,negeri
